brands,models,body,variant,fuel,transmission,city,price,mileage,engine_power
Hyundai,Creta,SUV5,1.5 E,Petrol,Manual, Delhi,13.03,17.40 Km/l,1497 cc
Tata,Nexon,SUV5,1.2 Smart Plus,Petrol,Manual, Delhi,10.02,17.40 Km/l,1199 cc
Hyundai,Venue,SUV5,1.2 S,Petrol,Manual, Delhi,10.47,17.52 Km/l,1197 cc
Hyundai,Grand i10 Nios,Hatchback5,1.2 Era,Petrol,Manual, Delhi,6.74,18.00 Km/l,1197 cc
Hyundai,Exter,SUV5,1.2 EX(O),Petrol,Manual, Delhi,7.55,19.40 Km/l,1197 cc
Kia,Sonet,SUV5,1.2 HTK(O),Petrol,Manual, Delhi,10.66,18.40 Km/l,1197 cc
Maruti Suzuki,Swift,Hatchback5,ZXi,Petrol,Manual, Delhi,9.31,24.80 Km/l,1197 cc
Tata,Punch,SUV5,Pure CNG,CNG,Manual, Delhi,8.28,20.09 Km/l,1199 cc
Tata,Harrier,SUV5,Pure (O),Diesel,Manual, Faridabad,19.74,16.80 Km/l,1956 cc
Mahindra,XUV700,SUV7,2.0 AX5 AT 7 STR Select,Petrol,Automatic, Faridabad,22.02,12.00 Km/l,1997 cc
Hyundai,Verna,Sedan5,1.5 S,Petrol,Manual, Faridabad,13.7,25.00 Km/l,1497 cc
Honda,Elevate,SUV5,SV-R,Petrol,Manual, Faridabad,13.73,15.31 Km/l,1498 cc
Tata,Nexon,SUV5,1.2 Smart Plus,Petrol,Manual, Faridabad,10.07,17.40 Km/l,1199 cc
Kia,Seltos,SUV5,1.5 HTX,Petrol,Manual, Faridabad,17.81,17.90 Km/l,1482 cc
Hyundai,i20,Hatchback5,1.2 Asta,Petrol,Manual, Faridabad,10.6,20.35 Km/l,1197 cc
Kia,Sonet,SUV5,1.2 HTK(O),Petrol,Manual, Faridabad,10.73,18.40 Km/l,1197 cc
Maruti Suzuki,Swift,Hatchback5,VXi,Petrol,Manual, Faridabad,8.29,24.80 Km/l,1197 cc
Hyundai,Grand i10 Nios,Hatchback5,1.2 Era,Petrol,Manual, Faridabad,6.67,18.00 Km/l,1197 cc
Hyundai,Venue,SUV5,1.2 S,Petrol,Manual, Faridabad,10.4,17.52 Km/l,1197 cc
Tata,Punch,SUV5,Pure CNG,CNG,Manual, Faridabad,8.3,20.09 Km/l,1199 cc
Hyundai,Exter,SUV5,1.2 EX(O),Petrol,Manual, Faridabad,7.48,19.40 Km/l,1197 cc
Hyundai,Creta,SUV5,1.5 E,Petrol,Manual, Faridabad,12.57,17.40 Km/l,1497 cc
Tata,Harrier,SUV5,Adventure Plus AT,Diesel,Automatic, Ghaziabad,25.88,16.80 Km/l,1956 cc
Hyundai,Verna,Sedan5,1.5 SX,Petrol,Manual, Ghaziabad,15.1,25.00 Km/l,1497 cc
Honda,Elevate,SUV5,SV-R,Petrol,Manual, Ghaziabad,13.97,15.31 Km/l,1498 cc
Hyundai,i20,Hatchback5,1.2 Magna,Petrol,Manual, Ghaziabad,8.83,20.35 Km/l,1197 cc
Hyundai,Venue,SUV5,1.2 E,Petrol,Manual, Ghaziabad,9,17.52 Km/l,1197 cc
Kia,Seltos,SUV5,1.5 HTK Plus iMT GDi,Petrol,Manual, Ghaziabad,18.39,17.90 Km/l,1482 cc
Tata,Nexon,SUV5,1.2 Smart Plus S,Petrol,Manual, Ghaziabad,10.4,17.40 Km/l,1199 cc
Mahindra,XUV700,SUV7,2.0 MX,Petrol,Manual, Ghaziabad,17.28,12.00 Km/l,1997 cc
Hyundai,Grand i10 Nios,Hatchback5,1.2 Era,Petrol,Manual, Ghaziabad,6.84,18.00 Km/l,1197 cc
Kia,Sonet,SUV5,1.0 X Line DCT,Petrol,Automatic, Ghaziabad,17.39,18.40 Km/l,1197 cc
Maruti Suzuki,Swift,Hatchback5,ZXi Plus,Petrol,Manual, Ghaziabad,10.13,24.80 Km/l,1197 cc
Hyundai,Exter,SUV5,1.2 EX(O),Petrol,Manual, Ghaziabad,7.47,19.40 Km/l,1197 cc
Hyundai,Creta,SUV5,1.5 E,Petrol,Manual, Ghaziabad,12.79,17.40 Km/l,1497 cc
Tata,Punch,SUV5,Pure CNG,CNG,Manual, Ghaziabad,8.29,20.09 Km/l,1199 cc
Tata,Harrier,SUV5,Pure (O),Diesel,Manual, Gurgaon,19.74,16.80 Km/l,1956 cc
Mahindra,XUV700,SUV7,2.0 AX5 AT 7 STR Select,Petrol,Automatic, Gurgaon,22.02,12.00 Km/l,1997 cc
Hyundai,Verna,Sedan5,1.5 S,Petrol,Manual, Gurgaon,13.7,25.00 Km/l,1497 cc
Honda,Elevate,SUV5,SV-R,Petrol,Manual, Gurgaon,13.73,15.31 Km/l,1498 cc
Tata,Nexon,SUV5,1.2 Smart Plus,Petrol,Manual, Gurgaon,10.07,17.40 Km/l,1199 cc
Kia,Seltos,SUV5,1.5 HTX,Petrol,Manual, Gurgaon,17.81,17.90 Km/l,1482 cc
Hyundai,i20,Hatchback5,1.2 Asta,Petrol,Manual, Gurgaon,10.6,20.35 Km/l,1197 cc
Kia,Sonet,SUV5,1.2 HTK(O),Petrol,Manual, Gurgaon,10.73,18.40 Km/l,1197 cc
Maruti Suzuki,Swift,Hatchback5,VXi,Petrol,Manual, Gurgaon,8.29,24.80 Km/l,1197 cc
Hyundai,Grand i10 Nios,Hatchback5,1.2 Era,Petrol,Manual, Gurgaon,6.67,18.00 Km/l,1197 cc
Hyundai,Venue,SUV5,1.2 S,Petrol,Manual, Gurgaon,10.4,17.52 Km/l,1197 cc
Tata,Punch,SUV5,Pure CNG,CNG,Manual, Gurgaon,8.3,20.09 Km/l,1199 cc
Hyundai,Exter,SUV5,1.2 EX(O),Petrol,Manual, Gurgaon,7.48,19.40 Km/l,1197 cc
Hyundai,Creta,SUV5,1.5 E,Petrol,Manual, Gurgaon,12.57,17.40 Km/l,1497 cc
Mahindra,XUV700,SUV7,2.2 AX5 Diesel,Diesel,Manual, Hyderabad,22.9,12.00 Km/l,1997 cc
Skoda,Kushaq,SUV5,1.0 Monte Carlo,Petrol,Manual, Hyderabad,19.68,19.20 Km/l,999 cc
Hyundai,Aura,Sedan5,1.2 SX,Petrol,Manual, Hyderabad,9.81,21.00 Km/l,1197 cc
Hyundai,Venue N-Line,SUV5,N8 DCT,Petrol,Automatic, Hyderabad,16.97,20.00 Km/l,998 cc
Tata,Altroz,Hatchback5,1.2 XTA,Petrol,Automatic, Hyderabad,11.01,25.11 Km/l,1497 cc
Skoda,Slavia,Sedan5,1.0 Prestige AT,Petrol,Automatic, Hyderabad,21.04,19.47 Km/l,999 cc
Hyundai,Venue,SUV5,1.5 SX,Diesel,Manual, Hyderabad,15.38,17.52 Km/l,1197 cc
Tata,Punch,SUV5,Adventure Rhythm,Petrol,Manual, Hyderabad,9.08,20.09 Km/l,1199 cc
Maruti Suzuki,New Grand Vitara,SUV5,Delta,Petrol,Manual, Hyderabad,15.23,21.11 Km/l,1462 cc
Maruti Suzuki,Baleno,Hatchback5,1.2 Zeta AMT,Petrol,Automatic, Hyderabad,10.81,22.35 Km/l,1197 cc
Maruti Suzuki,Brezza,SUV5,LXi CNG,CNG,Manual, Hyderabad,11.27,20.10 Km/l,1462 cc
Nissan,Magnite (2020-2024),SUV5,XV Premium,Petrol,Manual, Hyderabad,10.42,18.75 Km/l,999 cc
Maruti Suzuki,XL6,SUV6,Zeta CNG,CNG,Manual, Hyderabad,15.7,20.97 Km/l,1462 cc
Maruti Suzuki,Ertiga,SUV7,VXi(O),Petrol,Manual, Hyderabad,11.91,20.51 Km/l,1462 cc
Toyota,Urban Cruiser Hyryder,SUV5,Neodrive E,Petrol,Manual, Mumbai,13.68,21.12 Km/l,1462 cc
Mahindra,XUV700,SUV7,2.0 AX5 7 STR Select,Petrol,Manual, Mumbai,20.36,12.00 Km/l,1997 cc
Hyundai,Venue,SUV5,1.2 S,Petrol,Manual, Mumbai,10.86,17.52 Km/l,1197 cc
Hyundai,Creta,SUV5,1.5 S Diesel,Diesel,Manual, Mumbai,18.16,17.40 Km/l,1497 cc
Tata,Nexon,SUV5,1.2 Smart Plus,Petrol,Manual, Mumbai,10.37,17.40 Km/l,1199 cc
Hyundai,Exter,SUV5,1.2 SX AMT,Petrol,Automatic, Mumbai,10.61,19.40 Km/l,1197 cc
Hyundai,Aura,Sedan5,1.2 S CNG,CNG,Manual, Mumbai,9.58,21.00 Km/l,1197 cc
Tata,Punch,SUV5,Pure,Petrol,Manual, Mumbai,7.29,20.09 Km/l,1199 cc
Tata,Harrier,SUV5,Adventure Plus AT,Diesel,Automatic, Noida,25.88,16.80 Km/l,1956 cc
Hyundai,Verna,Sedan5,1.5 SX,Petrol,Manual, Noida,15.1,25.00 Km/l,1497 cc
Honda,Elevate,SUV5,SV-R,Petrol,Manual, Noida,13.97,15.31 Km/l,1498 cc
Hyundai,i20,Hatchback5,1.2 Magna,Petrol,Manual, Noida,8.83,20.35 Km/l,1197 cc
Hyundai,Venue,SUV5,1.2 E,Petrol,Manual, Noida,9,17.52 Km/l,1197 cc
Kia,Seltos,SUV5,1.5 HTK Plus iMT GDi,Petrol,Manual, Noida,18.39,17.90 Km/l,1482 cc
Tata,Nexon,SUV5,1.2 Smart Plus S,Petrol,Manual, Noida,10.4,17.40 Km/l,1199 cc
Mahindra,XUV700,SUV7,2.0 MX,Petrol,Manual, Noida,17.28,12.00 Km/l,1997 cc
Hyundai,Grand i10 Nios,Hatchback5,1.2 Era,Petrol,Manual, Noida,6.84,18.00 Km/l,1197 cc
Kia,Sonet,SUV5,1.0 X Line DCT,Petrol,Automatic, Noida,17.39,18.40 Km/l,1197 cc
Maruti Suzuki,Swift,Hatchback5,ZXi Plus,Petrol,Manual, Noida,10.13,24.80 Km/l,1197 cc
Hyundai,Exter,SUV5,1.2 EX(O),Petrol,Manual, Noida,7.47,19.40 Km/l,1197 cc
Hyundai,Creta,SUV5,1.5 E,Petrol,Manual, Noida,12.79,17.40 Km/l,1497 cc
Tata,Punch,SUV5,Pure CNG,CNG,Manual, Noida,8.29,20.09 Km/l,1199 cc
Tata,Harrier,SUV5,Pure,Diesel,Manual, Pune,20.55,16.80 Km/l,1956 cc
Tata,Safari,SUV7,Pure Plus,Diesel,Manual, Pune,23.28,16.14 Km/l,1956 cc
Hyundai,Exter,SUV5,1.2 S,Petrol,Manual, Pune,9.03,19.40 Km/l,1197 cc
Hyundai,i20,Hatchback5,1.2 Sportz,Petrol,Manual, Pune,10.01,20.35 Km/l,1197 cc
Hyundai,Venue,SUV5,1.2 E,Petrol,Manual, Pune,9.45,17.52 Km/l,1197 cc
Hyundai,Creta,SUV5,1.5 EX,Petrol,Manual, Pune,14.79,,
Tata,Nexon,SUV5,1.2 Smart Plus,Petrol,Manual, Pune,10.5,17.40 Km/l,1199 cc
Toyota,Fortuner Legender,SUV7,2.8 4x4 AT,Diesel,Automatic, Ahmedabad,54.09,14.40 Km/l,2755 cc
Toyota,Rumion,SUV7,V AT Neo Drive,Petrol,Automatic, Ahmedabad,15.65,20.51 Km/l,1462 cc
Toyota,Innova Crysta,SUV7,GX 7 STR,Diesel,Manual, Ahmedabad,22.88,12.99 Km/l,2393 cc
Toyota,Urban Cruiser Hyryder,SUV5,Neodrive V AWD,Petrol,Manual, Ahmedabad,19.95,21.12 Km/l,1462 cc
Toyota,Urban Cruiser Taisor,SUV5,1.2 S Plus,Petrol,Manual, Ahmedabad,10.22,21.70 Km/l,1197 cc
Toyota,Camry,Sedan5,Hybrid,Hybrid,Automatic, Ahmedabad,54.49,25.49,2487 cc
Toyota,Hilux,Pick,STD 4X4 MT,Diesel,Automatic, Ahmedabad,34,12.00 Km/l,2755 cc
Toyota,Land Cruiser,SUV5,ZX Diesel,Diesel,Automatic, Ahmedabad,2.29,11.00 Km/l,3346 cc
Toyota,Vellfire,MPV,Hi,Hybrid,Automatic, Ahmedabad,1.31,19.28,2487 cc
Toyota,Fortuner,SUV7,2.7 4x2 AT,Petrol,Automatic, Ahmedabad,39.84,10.00 Km/l,2694 cc
Toyota,Glanza,Hatchback5,V AMT,Petrol,Automatic, Ahmedabad,11.34,22.35 Km/l,1197 cc
Toyota,Innova Hycross,SUV7,2.0 VX(O) 8 STR Hybrid AT,Hybrid,Automatic, Ahmedabad,31.91,16.13 Km/l,1987 cc
Toyota,Camry (2022-2024),Sedan5,Hybrid,Hybrid,Automatic, Ahmedabad,52.43,19.1,2487 cc
Toyota,Innova Crysta (2020-2023),SUV7,2.7 GX 7 STR Petrol,Petrol,Manual, Ahmedabad,20.74,16.00 Km/l,2393 cc
Toyota,Glanza,Hatchback5,S AMT,Petrol,Automatic, Bangalore,9.99,22.35 Km/l,1197 cc
Toyota,Urban Cruiser Hyryder,SUV5,Neodrive S,Petrol,Manual, Bangalore,15.94,21.12 Km/l,1462 cc
Toyota,Innova Hycross,SUV7,2.0 GX 7 STR CVT,Petrol,Automatic, Bangalore,25.06,16.13 Km/l,1987 cc
Toyota,Innova Crysta,SUV8,GX 7 STR,Diesel,Manual, Bangalore,25.04,12.99 Km/l,2393 cc
Toyota,Rumion,SUV7,S Neo Drive,Petrol,Manual, Bangalore,13,20.51 Km/l,1462 cc
Toyota,Urban Cruiser Taisor,SUV5,1.2 S,Petrol,Manual, Bangalore,10.36,21.70 Km/l,1197 cc
Toyota,Fortuner Legender,SUV7,2.8 4x2 AT,Diesel,Automatic, Bangalore,54.64,14.40 Km/l,2755 cc
Toyota,Fortuner,SUV7,2.7 4x2 MT,Petrol,Manual, Bangalore,41.95,10.00 Km/l,2694 cc
Toyota,Camry (2022-2024),Sedan5,Hybrid,Hybrid,Automatic, Bangalore,57.6,19.1,2487 cc
Toyota,Camry,Sedan5,Hybrid,Hybrid,Automatic, Bangalore,61.21,25.49,2487 cc
Toyota,Hilux,Pick,STD 4X4 MT,Diesel,Automatic, Bangalore,37.59,12.00 Km/l,2755 cc
Toyota,Land Cruiser,SUV5,ZX Diesel,Diesel,Automatic, Bangalore,2.58,11.00 Km/l,3346 cc
Toyota,Vellfire,MPV,Hi,Hybrid,Automatic, Bangalore,1.48,19.28,2487 cc
Toyota,Innova Crysta (2020-2023),SUV7,2.7 GX 7 STR Petrol,Petrol,Manual, Bangalore,23.08,16.00 Km/l,2393 cc
Toyota,Glanza,Hatchback5,G AMT,Petrol,Automatic, Chennai,11.22,22.35 Km/l,1197 cc
Toyota,Fortuner Legender,SUV7,2.8 4x4 AT,Diesel,Automatic, Chennai,60.78,14.40 Km/l,2755 cc
Toyota,Rumion,SUV7,V AT Neo Drive,Petrol,Automatic, Chennai,17.32,20.51 Km/l,1462 cc
Toyota,Innova Crysta,SUV7,GX 7 STR,Diesel,Manual, Chennai,25.3,12.99 Km/l,2393 cc
Toyota,Urban Cruiser Hyryder,SUV5,Neodrive V AWD,Petrol,Manual, Chennai,22.08,21.12 Km/l,1462 cc
Toyota,Urban Cruiser Taisor,SUV5,1.2 S Plus,Petrol,Manual, Chennai,10.87,21.70 Km/l,1197 cc
Toyota,Camry,Sedan5,Hybrid,Hybrid,Automatic, Chennai,61.23,25.49,2487 cc
Toyota,Hilux,Pick,STD 4X4 MT,Diesel,Automatic, Chennai,37.92,12.00 Km/l,2755 cc
Toyota,Land Cruiser,SUV5,ZX Diesel,Diesel,Automatic, Chennai,2.58,11.00 Km/l,3346 cc
Toyota,Vellfire,MPV,Hi,Hybrid,Automatic, Chennai,1.51,19.28,2487 cc
Toyota,Fortuner,SUV7,2.7 4x2 AT,Petrol,Automatic, Chennai,44.77,10.00 Km/l,2694 cc
Toyota,Innova Hycross,SUV7,2.0 G-SLF 7 STR CVT,Petrol,Automatic, Chennai,23.97,16.13 Km/l,1987 cc
Toyota,Camry (2022-2024),Sedan5,Hybrid,Hybrid,Automatic, Chennai,58.91,19.1,2487 cc
Toyota,Innova Crysta (2020-2023),SUV7,2.7 GX 7 STR Petrol,Petrol,Manual, Chennai,22.93,16.00 Km/l,2393 cc
Toyota,Glanza,Hatchback5,E,Petrol,Manual, Delhi,7.82,22.35 Km/l,1197 cc
Toyota,Urban Cruiser Hyryder,SUV5,Neodrive S,Petrol,Manual, Delhi,14.78,21.12 Km/l,1462 cc
Toyota,Rumion,SUV7,S Neo Drive,Petrol,Manual, Delhi,12.13,20.51 Km/l,1462 cc
Toyota,Innova Crysta,SUV8,GX 7 STR,Diesel,Manual, Delhi,24,12.99 Km/l,2393 cc
Toyota,Urban Cruiser Taisor,SUV5,1.2 E,Petrol,Manual, Delhi,8.7,21.70 Km/l,1197 cc
Toyota,Innova Hycross,SUV7,2.0 GX 7 STR CVT,Petrol,Automatic, Delhi,23.23,16.13 Km/l,1987 cc
Toyota,Fortuner Legender,SUV7,2.8 4x2 AT,Diesel,Automatic, Delhi,52.68,14.40 Km/l,2755 cc
Toyota,Camry (2022-2024),Sedan5,Hybrid,Hybrid,Automatic, Delhi,53.03,19.1,2487 cc
Toyota,Fortuner,SUV7,2.7 4x2 MT,Petrol,Manual, Delhi,39.26,10.00 Km/l,2694 cc
Toyota,Camry,Sedan5,Hybrid,Hybrid,Automatic, Delhi,56.42,25.49,2487 cc
Toyota,Hilux,Pick,STD 4X4 MT,Diesel,Automatic, Delhi,35.38,12.00 Km/l,2755 cc
Toyota,Land Cruiser,SUV5,ZX Diesel,Diesel,Automatic, Delhi,2.42,11.00 Km/l,3346 cc
Toyota,Vellfire,MPV,Hi,Hybrid,Automatic, Delhi,1.39,19.28,2487 cc
Toyota,Innova Crysta (2020-2023),SUV7,2.7 GX 7 STR Petrol,Petrol,Manual, Delhi,21.47,16.00 Km/l,2393 cc
Toyota,Glanza,Hatchback5,E,Petrol,Manual, Faridabad,7.84,22.35 Km/l,1197 cc
Toyota,Innova Crysta,SUV8,GX 7 STR,Diesel,Manual, Faridabad,23.04,12.99 Km/l,2393 cc
Toyota,Rumion,SUV7,S Neo Drive,Petrol,Manual, Faridabad,11.93,20.51 Km/l,1462 cc
Toyota,Urban Cruiser Hyryder,SUV5,Neodrive S,Petrol,Manual, Faridabad,14.61,21.12 Km/l,1462 cc
Toyota,Innova Hycross,SUV7,2.0 GX 7 STR CVT,Petrol,Automatic, Faridabad,22.79,16.13 Km/l,1987 cc
Toyota,Urban Cruiser Taisor,SUV5,1.2 E,Petrol,Manual, Faridabad,8.84,21.70 Km/l,1197 cc
Toyota,Camry (2022-2024),Sedan5,Hybrid,Hybrid,Automatic, Faridabad,53.16,19.1,2487 cc
Toyota,Fortuner,SUV7,2.7 4x2 MT,Petrol,Manual, Faridabad,38.98,10.00 Km/l,2694 cc
Toyota,Fortuner Legender,SUV7,2.8 4x2 AT,Diesel,Automatic, Faridabad,51.21,14.40 Km/l,2755 cc
Toyota,Camry,Sedan5,Hybrid,Hybrid,Automatic, Faridabad,56.46,25.49,2487 cc
Toyota,Hilux,Pick,STD 4X4 MT,Diesel,Automatic, Faridabad,33.98,12.00 Km/l,2755 cc
Toyota,Land Cruiser,SUV5,ZX Diesel,Diesel,Automatic, Faridabad,2.33,11.00 Km/l,3346 cc
Toyota,Vellfire,MPV,Hi,Hybrid,Automatic, Faridabad,1.33,19.28,2487 cc
Toyota,Innova Crysta (2020-2023),SUV7,2.7 GX 7 STR Petrol,Petrol,Manual, Faridabad,21.15,16.00 Km/l,2393 cc
Toyota,Glanza,Hatchback5,E,Petrol,Manual, Ghaziabad,7.85,22.35 Km/l,1197 cc
Toyota,Rumion,SUV7,S Neo Drive,Petrol,Manual, Ghaziabad,12.12,20.51 Km/l,1462 cc
Toyota,Urban Cruiser Hyryder,SUV5,Neodrive S,Petrol,Manual, Ghaziabad,14.74,21.12 Km/l,1462 cc
Toyota,Innova Crysta,SUV8,GX 8 STR,Diesel,Manual, Ghaziabad,23.45,12.99 Km/l,2393 cc
Toyota,Innova Hycross,SUV7,2.0 GX 7 STR CVT,Petrol,Automatic, Ghaziabad,23.19,16.13 Km/l,1987 cc
Toyota,Urban Cruiser Taisor,SUV5,1.2 E,Petrol,Manual, Ghaziabad,8.75,21.70 Km/l,1197 cc
Toyota,Camry (2022-2024),Sedan5,Hybrid,Hybrid,Automatic, Ghaziabad,48.36,19.1,2487 cc
Toyota,Fortuner,SUV7,2.7 4x2 MT,Petrol,Manual, Ghaziabad,39.2,10.00 Km/l,2694 cc
Toyota,Fortuner Legender,SUV7,2.8 4x2 AT,Diesel,Automatic, Ghaziabad,51.51,14.40 Km/l,2755 cc
Toyota,Camry,Sedan5,Hybrid,Hybrid,Automatic, Ghaziabad,56.44,25.49,2487 cc
Toyota,Hilux,Pick,STD 4X4 MT,Diesel,Automatic, Ghaziabad,34.57,12.00 Km/l,2755 cc
Toyota,Land Cruiser,SUV5,ZX Diesel,Diesel,Automatic, Ghaziabad,2.37,11.00 Km/l,3346 cc
Toyota,Vellfire,MPV,Hi,Hybrid,Automatic, Ghaziabad,1.39,19.28,2487 cc
Toyota,Innova Crysta (2020-2023),SUV7,2.7 GX 7 STR Petrol,Petrol,Manual, Ghaziabad,21.49,16.00 Km/l,2393 cc
Toyota,Glanza,Hatchback5,E,Petrol,Manual, Gurgaon,7.84,22.35 Km/l,1197 cc
Toyota,Innova Crysta,SUV8,GX 7 STR,Diesel,Manual, Gurgaon,23.04,12.99 Km/l,2393 cc
Toyota,Rumion,SUV7,S Neo Drive,Petrol,Manual, Gurgaon,11.93,20.51 Km/l,1462 cc
Toyota,Urban Cruiser Hyryder,SUV5,Neodrive S,Petrol,Manual, Gurgaon,14.61,21.12 Km/l,1462 cc
Toyota,Fortuner Legender,SUV7,2.8 4x2 AT,Diesel,Automatic, Gurgaon,51.21,14.40 Km/l,2755 cc
Toyota,Camry (2022-2024),Sedan5,Hybrid,Hybrid,Automatic, Gurgaon,53.16,19.1,2487 cc
Toyota,Innova Hycross,SUV7,2.0 GX 7 STR CVT,Petrol,Automatic, Gurgaon,22.79,16.13 Km/l,1987 cc
Toyota,Fortuner,SUV7,2.7 4x2 MT,Petrol,Manual, Gurgaon,38.98,10.00 Km/l,2694 cc
Toyota,Urban Cruiser Taisor,SUV5,1.2 E,Petrol,Manual, Gurgaon,8.84,21.70 Km/l,1197 cc
Toyota,Camry,Sedan5,Hybrid,Hybrid,Automatic, Gurgaon,56.46,25.49,2487 cc
Toyota,Hilux,Pick,STD 4X4 MT,Diesel,Automatic, Gurgaon,33.98,12.00 Km/l,2755 cc
Toyota,Land Cruiser,SUV5,ZX Diesel,Diesel,Automatic, Gurgaon,2.33,11.00 Km/l,3346 cc
Toyota,Vellfire,MPV,Hi,Hybrid,Automatic, Gurgaon,1.33,19.28,2487 cc
Toyota,Innova Crysta (2020-2023),SUV7,2.7 GX 7 STR Petrol,Petrol,Manual, Gurgaon,21.15,16.00 Km/l,2393 cc
Toyota,Urban Cruiser Hyryder,SUV5,Neodrive G,Petrol,Manual, Hyderabad,17.95,21.12 Km/l,1462 cc
Toyota,Glanza,Hatchback5,S AMT,Petrol,Automatic, Hyderabad,9.9,,
Toyota,Rumion,SUV7,S Neo Drive,Petrol,Manual, Hyderabad,13,20.51 Km/l,1462 cc
Toyota,Innova Crysta,SUV8,GX 7 STR,Diesel,Manual, Hyderabad,24.86,12.99 Km/l,2393 cc
Toyota,Innova Hycross,SUV7,2.0 GX 7 STR CVT,Petrol,Automatic, Hyderabad,24.9,16.13 Km/l,1987 cc
Toyota,Fortuner Legender,SUV7,2.8 4x2 AT,Diesel,Automatic, Hyderabad,54.04,14.40 Km/l,2755 cc
Toyota,Camry (2022-2024),Sedan5,Hybrid,Hybrid,Automatic, Hyderabad,56.84,19.1,2487 cc
Toyota,Fortuner,SUV7,2.7 4x2 MT,Petrol,Manual, Hyderabad,41.54,10.00 Km/l,2694 cc
Toyota,Urban Cruiser Taisor,SUV5,1.2 S Plus,Petrol,Manual, Hyderabad,10.82,21.70 Km/l,1197 cc
Toyota,Camry,Sedan5,Hybrid,Hybrid,Automatic, Hyderabad,60.26,25.49,2487 cc
Toyota,Hilux,Pick,STD 4X4 MT,Diesel,Automatic, Hyderabad,37.93,12.00 Km/l,2755 cc
Toyota,Land Cruiser,SUV5,ZX Diesel,Diesel,Automatic, Hyderabad,2.54,11.00 Km/l,3346 cc
Toyota,Vellfire,MPV,Hi,Hybrid,Automatic, Hyderabad,1.48,19.28,2487 cc
Toyota,Innova Crysta (2020-2023),SUV7,2.7 GX 7 STR Petrol,Petrol,Manual, Hyderabad,22.74,16.00 Km/l,2393 cc
Toyota,Fortuner Legender,SUV7,2.8 4x4 AT,Diesel,Automatic, Jaipur,57.69,14.40 Km/l,2755 cc
Toyota,Rumion,SUV7,V AT Neo Drive,Petrol,Automatic, Jaipur,16.44,20.51 Km/l,1462 cc
Toyota,Innova Crysta,SUV7,GX 7 STR,Diesel,Manual, Jaipur,24.41,12.99 Km/l,2393 cc
Toyota,Urban Cruiser Hyryder,SUV5,Neodrive V AWD,Petrol,Manual, Jaipur,20.94,21.12 Km/l,1462 cc
Toyota,Urban Cruiser Taisor,SUV5,1.2 S Plus,Petrol,Manual, Jaipur,10.61,21.70 Km/l,1197 cc
Toyota,Camry,Sedan5,Hybrid,Hybrid,Automatic, Jaipur,57.04,25.49,2487 cc
Toyota,Hilux,Pick,STD 4X4 MT,Diesel,Automatic, Jaipur,35.01,12.00 Km/l,2755 cc
Toyota,Land Cruiser,SUV5,ZX Diesel,Diesel,Automatic, Jaipur,2.41,11.00 Km/l,3346 cc
